classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (µm2),Cellular surface area (µm2),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_9_5,617.1177923,1565.310573,393.6914928,1078.733376,0.950789,-0.7586222
Tom20,AICS-11_9_6,847.6186343,2312.014939,451.9724884,1210.394275,0.8348489,-0.4739259
Tom20,AICS-11_9_7,465.2191999,1268.315833,316.310219,874.4084045,0.9249815,-0.5456559
Tom20,AICS-11_9_8,345.0880247,3329.388583,347.2936754,1463.566994,0.9979404,-0.1899942
Tom20,AICS-11_9_9,854.9652747,2218.345274,521.4452903,1441.087433,0.9353582,0.7964984
Tom20,AICS-11_10_1,904.657134,2003.898201,485.5241827,1186.694893,0.8339453,-0.09684145
Tom20,AICS-11_10_2,917.8538769,2486.735733,485.3437289,1401.899892,0.9821146,-0.5667338
Tom20,AICS-11_10_3,729.4941804,1672.959262,459.0621475,1251.616251,0.8142237,0.372005
Tom20,AICS-11_10_4,604.8053672,1547.624216,393.4985469,964.9593374,0.9011332,-0.6527113
Tom20,AICS-11_10_5,415.6633895,1250.085281,296.8379058,777.2830347,0.8562073,0.2649867
Tom20,AICS-11_11_1,783.8117021,1944.955017,458.4802656,1081.319985,0.9892534,-0.3903735
Tom20,AICS-11_11_2,855.0332991,1932.370494,467.5745464,996.6850792,0.9029012,-0.7012577
Tom20,AICS-11_12_2,723.6440778,1862.883521,423.4086238,1123.089935,0.8895661,-0.331109
Tom20,AICS-11_12_3,763.6424532,1860.910812,479.5569269,1270.799565,0.8925413,-0.7910511
Tom20,AICS-11_12_6,480.7627862,1493.170646,314.9810129,913.1364654,0.7887606,-0.8776358
Tom20,AICS-11_12_7,1071.044934,2948.485686,596.0315781,1467.861562,0.8856571,0.3766914
Tom20,AICS-11_12_8,361.3458678,1367.155356,259.4709638,853.2779954,0.9764323,-0.7960509
Tom20,AICS-11_13_1,933.8736344,2015.088223,488.7017012,1200.249395,0.9349446,0.009582416
Tom20,AICS-11_13_2,945.4037783,2127.226526,496.8598061,1249.450596,0.9274189,-0.4344179
Tom20,AICS-11_13_3,561.8819405,1601.567604,343.6547874,906.2821624,0.9108035,-0.7455106
Tom20,AICS-11_13_4,718.4402076,1613.709968,449.6319435,1062.04954,0.9801165,0.7164264
Tom20,AICS-11_13_6,605.1454894,1425.282247,373.9360594,974.3078701,0.9289111,-0.4128592
Tom20,AICS-11_13_7,633.1375498,1686.053968,369.0533107,941.9490181,0.8679324,-0.3561083
Tom20,AICS-11_13_8,622.7298092,1372.121141,392.6519155,973.6081001,0.8435336,-0.4170026
Tom20,AICS-11_14_1,655.6876543,1659.082274,389.9256888,1097.402308,0.8558361,-0.1722237
Tom20,AICS-11_14_2,790.3080369,1791.627911,452.64339,1050.999767,0.8489611,-0.6376567
Tom20,AICS-11_14_3,807.7563078,1941.383734,465.2607704,1266.421016,0.9283155,-0.6442904
Tom20,AICS-11_14_4,779.696223,1785.913858,433.0307239,1053.512892,0.8809056,-0.463747
Tom20,AICS-11_14_5,463.2805031,1149.273049,323.877204,678.5627645,0.9493856,0.5381607
Tom20,AICS-11_14_6,816.0552904,1957.505528,472.2714876,1065.470708,0.9074036,-0.4226722
Tom20,AICS-11_14_7,558.5827548,1395.35149,350.7646019,885.0161244,0.9346649,-0.6457973
Tom20,AICS-11_14_8,624.1583226,1563.065766,372.3819947,946.4567926,0.9759125,-0.9629058
Tom20,AICS-11_15_1,240.976607,1418.615851,207.9324717,830.3578505,0.9790874,-0.4421472
Tom20,AICS-11_15_2,499.095375,2743.868147,534.7378763,1188.077427,0.9141194,-0.7472917
Tom20,AICS-11_15_3,248.5273208,1250.017256,209.5960264,697.0594307,0.9550317,0.3857454
Tom20,AICS-11_15_4,591.6766487,1358.822361,365.154607,833.35628,0.8988137,-0.8385372
Tom20,AICS-11_15_5,597.0845923,1713.195723,373.5870142,1207.115875,0.9575381,0.5926579
Tom20,AICS-11_15_6,488.2114633,1500.823396,329.4681208,1006.176169,0.9145312,0.4444218
Tom20,AICS-11_15_7,619.9748191,1490.041521,380.23189,871.4151189,0.9244357,0.592707
Tom20,AICS-11_16_1,764.6288077,2112.363184,496.7980802,1221.560572,0.9446774,0.2507254
Tom20,AICS-11_16_2,954.5530666,2382.352218,508.3616065,1319.645948,0.980636,-0.007949244
Tom20,AICS-11_16_3,1093.867136,2690.196857,540.2069159,1476.193507,0.9266113,-0.2233209
Tom20,AICS-11_16_4,468.0082022,1390.487742,311.3507328,872.9422047,0.9433978,0.3979338
Tom20,AICS-11_16_5,307.1643949,1409.466563,235.7523714,718.1529932,0.9397208,-0.6838639
Tom20,AICS-11_16_6,712.3860317,1825.538099,420.8545577,983.5406143,0.9093706,0.9255432
Tom20,AICS-11_16_7,540.0120804,1516.230934,374.9248283,1036.117004,0.9255186,-0.8801984
Tom20,AICS-11_17_1,1000.435557,2575.677699,537.0067225,1544.480395,0.825632,-0.7614623
Tom20,AICS-11_17_3,586.9149373,1528.169224,370.5504784,986.0637125,0.8920459,-0.5568835
Tom20,AICS-11_17_4,559.841207,1438.717075,391.1850858,953.9975336,0.9331679,-0.4443415
Tom20,AICS-11_17_5,560.7595371,1226.174687,355.2660778,854.4691581,0.9383192,0.3127448
Tom20,AICS-11_18_1,812.9941903,1996.279463,444.0777683,1266.217363,0.9924374,-0.3656251
Tom20,AICS-11_18_3,723.1338945,1952.981902,557.5934609,1182.606078,0.9797562,-1
Tom20,AICS-11_18_4,899.9294348,1888.664786,502.1382093,1075.252372,0.9532673,1
Tom20,AICS-11_18_5,536.3727725,1534.597535,390.6483435,1005.489521,0.982576,-0.1463947
Tom20,AICS-11_18_6,1007.442075,2949.335992,553.2329678,1882.224929,0.9057391,-0.9843349
Tom20,AICS-11_18_7,904.7251584,2318.715347,585.6107155,1411.154577,0.9200648,-0.9590154
Tom20,AICS-11_19_1,1090.397889,2486.395611,574.9809507,1358.835588,0.9478325,0.682466
Tom20,AICS-11_19_3,653.8850064,1375.556375,418.5804626,943.2735003,0.9975665,-1
Tom20,AICS-11_19_4,620.8931491,1402.800167,389.0529183,1003.355779,0.9608009,0.3568104
Tom20,AICS-11_19_5,533.2436479,1292.600561,343.5957909,879.3232759,0.9690267,-0.6867146
Tom20,AICS-11_19_6,560.0792926,1138.42315,386.9966484,847.0892403,0.9595793,-0.528444
Tom20,AICS-11_20_1,783.1314576,1995.735268,465.870156,1425.57618,0.9540923,0.981571
Tom20,AICS-11_20_2,991.1842318,2574.147149,530.8617424,1532.564569,0.9244587,-0.083414
Tom20,AICS-11_20_3,326.9595093,1526.740711,242.6627316,815.7121239,0.8665332,-0.7111616
Tom20,AICS-11_20_5,332.0273307,1671.428712,246.7147002,856.0177641,0.8636202,-0.8882933
Tom20,AICS-11_21_2,487.3611577,1499.735005,329.4476505,881.1348467,0.81007,-0.8730989
Tom20,AICS-11_21_3,608.4786874,1375.998534,391.0413737,975.2649363,0.9253982,-1
Tom20,AICS-11_21_4,735.4123073,1721.25662,457.1542087,1156.244505,0.9340963,-0.6254101
Tom20,AICS-11_21_5,548.8212465,1286.852495,391.9179233,967.2204155,0.8798813,-0.8899056
Tom20,AICS-11_21_6,865.032893,2200.726942,498.8452172,1359.468593,0.9588762,-0.3007116
Tom20,AICS-11_21_9,803.3687309,2007.333436,456.5785203,1210.956947,0.9893317,0.3533578
Tom20,AICS-11_21_11,612.9002765,1410.282856,397.4018695,1051.638021,0.688269,-0.8349077
Tom20,AICS-11_21_12,344.2037069,1697.209978,251.5293194,863.4121685,0.9291351,-0.8224394
Tom20,AICS-11_22_2,758.3025341,2046.889653,460.8331976,1164.641535,0.7151586,-0.9205918
Tom20,AICS-11_22_3,595.2819444,1520.856596,405.1313574,1096.288512,0.9181414,-0.8368759
Tom20,AICS-11_22_4,441.9548387,1491.163925,305.0902791,946.1246485,0.8971375,-0.8566679
Tom20,AICS-11_22_5,880.678516,2529.863233,504.4863125,1668.842313,0.9399632,-0.9394153
Tom20,AICS-11_22_6,348.013076,1593.472694,252.6657896,962.6818831,0.832317,-1
Tom20,AICS-11_22_7,362.5703078,1378.277353,259.7740295,857.4597144,0.8554914,-0.9941928
Tom20,AICS-11_23_2,631.7770608,1532.862911,393.2232998,1047.494828,0.8316818,-0.1671065
Tom20,AICS-11_23_3,756.3978495,1834.211216,452.437847,1178.965511,0.9551434,-0.6850905
Tom20,AICS-11_23_4,594.0575044,1583.677174,378.9702884,1015.942821,0.8370984,-0.7545258
Tom20,AICS-11_23_6,625.3487505,1596.601819,393.8988204,1039.773213,0.8812416,-0.8227403
Tom20,AICS-11_23_7,640.6882635,1644.014859,407.7474643,1087.063222,0.7572169,-0.9043166
Tom20,AICS-11_23_8,579.7723703,1422.867379,365.0910965,1004.3372,0.9314808,-0.739694
Tom20,AICS-11_23_9,842.0066173,2156.987222,458.0227801,1225.542312,0.7659011,-0.789371
Tom20,AICS-11_24_1,954.9612132,2719.617431,532.8753921,1660.434785,0.8464392,-0.8659847
Tom20,AICS-11_24_2,835.7143559,1860.672726,485.478833,1198.264298,0.9376521,-0.3481485
Tom20,AICS-11_24_4,613.4444721,1405.215035,379.9565379,841.9010115,0.9001181,-0.8550928
Tom20,AICS-11_24_6,561.201696,1362.699755,355.3274887,857.8673362,0.8102596,-0.493682
Tom20,AICS-11_25_1,870.4748488,1931.07803,474.2175326,1115.436135,0.8520911,-0.09770058
Tom20,AICS-11_25_2,834.2518303,2159.334065,510.2780484,1446.513643,0.9453688,-0.1932656
Tom20,AICS-11_25_3,981.4227235,2085.39149,552.9255981,1113.862545,0.7683182,-0.6219967
Tom20,AICS-11_25_4,675.4827686,1644.286957,389.0578522,943.4535342,0.8814433,-0.6226658
Tom20,AICS-11_25_5,627.7296061,1525.244173,390.8707877,937.4916322,0.9594621,-0.6644234
Tom20,AICS-11_25_6,714.256704,1937.540352,418.967929,1178.623289,0.995061,1
Tom20,AICS-11_25_7,677.6935632,1569.936235,438.3376806,1080.035078,0.9055043,-0.1079072
Tom20,AICS-11_26_2,615.3831688,1517.047227,385.686023,963.7207256,0.945713,-0.867246
Tom20,AICS-11_26_3,588.1393774,1512.931748,378.609066,996.7641261,0.9597189,0.5258608
Tom20,AICS-11_26_4,902.3783149,2236.94996,486.2891428,1189.997438,0.9318506,-0.6865984
Tom20,AICS-11_26_5,275.4650022,1283.995468,225.7577114,743.7750104,0.8735541,-1
Tom20,AICS-11_26_6,872.4475578,2207.563399,491.3890868,1412.334507,0.9127081,-0.2425406
Tom20,AICS-11_26_7,573.0719622,1598.404467,389.7206706,1048.093506,0.9901496,0.2116523
Tom20,AICS-11_26_8,547.6308186,1525.244173,363.7619954,893.9323659,0.9497457,-0.1964715
Tom20,AICS-11_26_9,557.9025103,1189.917657,372.6264838,799.8061604,0.9649683,-1
Tom20,AICS-11_26_10,304.8175515,1485.245798,240.8732057,841.5757958,0.8607985,-0.6555614
Tom20,AICS-11_27_1,424.8807022,781.3288097,302.8443176,627.5819049,0.9803851,0.4323266
Tom20,AICS-11_27_2,473.4161459,1019.44839,314.4759733,720.1874281,0.9743366,0.8853543
Tom20,AICS-11_27_3,466.1375299,1059.718863,333.7796951,688.6240842,0.9531613,-0.2432568
Tom20,AICS-11_27_4,546.6444641,1442.220334,357.2084487,937.1047956,0.9372123,0.6404173
Tom20,AICS-11_27_5,833.605598,2002.979871,489.9295005,1189.433717,0.9736326,-0.1632438
Tom20,AICS-11_27_6,796.5322739,2313.40944,751.5632848,1252.411969,0.9249038,-0.7473578
Tom20,AICS-11_27_7,683.7137268,1370.964725,417.7755066,898.4886392,0.9199463,-0.8486291
Tom20,AICS-11_27_8,675.5507931,1629.831762,415.7279497,993.4511885,0.9439448,-0.6382149
Tom20,AICS-11_28_2,971.8993008,2372.658734,548.7535369,1300.646341,0.7884139,-0.07821555
Tom20,AICS-11_28_3,783.9817632,1925.159903,469.4228588,1218.438586,0.9481851,0.8634502
Tom20,AICS-11_28_4,886.902753,2431.805992,467.7278113,1240.37857,0.8468793,0.06222736
Tom20,AICS-11_28_5,913.16019,2056.311039,493.1706345,1274.75926,0.9510834,-0.0297174
Tom20,AICS-11_29_1,775.7848172,1792.138095,449.9473964,1025.409557,0.9848905,-0.9431523
Tom20,AICS-11_29_2,823.2658819,1796.831782,462.8541956,1028.898644,0.6624568,-0.1992101
Tom20,AICS-11_29_3,705.1074157,1553.440307,420.7456976,916.9319776,0.9682314,-0.5492567
Tom20,AICS-11_29_4,817.1096694,1928.152979,453.4343842,1066.778709,0.8822904,-0.2290393
